country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,Queensland,townsville (australia),light,0.05,3.0,180.0,Large blue light seen sweeping over Townsville in fast&#44 erratic movements.,30/01/2014,-19.26639,146.805695,15/12/2013,20:00:00
au,New South Wales,moree (australia),formation,0.066666667,4.0,240.0,3 individual lights moving in a triangular formation across the Nothern skies of Australia,19/12/2003,-29.46278,149.841568,16/12/2003,22:30:00
au,Queensland,brisbane (qld&#44 australia),other,0.083333333,5.0,300.0,2 objects moving at unusually slow speed one blue with trail&#44 one whitish no trail,17/01/2004,-27.47101,153.024292,19/12/2003,3:10:00
au,New South Wales,sydney (nsw&#44 australia),light,0.15,9.0,540.0,Two lights in the sky interacting with each other in the most astounding way,12/10/2001,-33.861481,151.205475,2/01/1999,22:00:00
au,New South Wales,sydney (50 miles north of)  (nsw&#44 australia),light,0.05,3.0,180.0,truly bizarre &quot;anomolous satellite-like&quot; observation,18/02/2001,-33.861481,151.205475,2/01/2001,21:20:00
au,Queensland,wyreema (australia),oval,0.001388889,0.083333333,5.0,Pale blue oval shaped light turns at right angles and disappears.,21/03/2003,-27.65583,151.855316,2/01/2003,22:00:00
au,Western Australia,perth (helena valley) (australia),light,0.016666667,1.0,60.0,Steady orange light in the sky sped up silently&#44 appeared to drop down from the trees stoped&#44 changed direction &amp; then moved away.,10/01/2014,-31.95224,115.861397,2/01/2014,21:30:00
au,New South Wales,grenfell (australia),other,0.001388889,0.083333333,5.0,in a matter of seconds it came spinning from nowhere and then sort of darted of to the other direction,18/02/2001,-33.895489,148.164383,20/12/1996,8:00:00
au,New South Wales,albury (nsw&#44 australia),light,0.083333333,5.0,300.0,fast orange light almost like strobe light moving at great speed,23/12/2002,-36.07494,146.923935,21/12/2002,10:00:00
au,Western Australia,perth (western australia),oval,0.002777778,0.166666667,10.0,it was a huge oval U.f.O that shone out a huge light that spread everywhere it was like a sun,14/02/2006,-31.95224,115.861397,21/12/2005,23:45:00
au,Western Australia,perth (western australia),oval,0.004166667,0.25,15.0,starting shining extemely brightley then just shot off,14/02/2006,-31.95224,115.861397,21/12/2005,23:45:00
au,Victoria,dunkeld (australia),triangle,0.166666667,10.0,600.0,I was star gazing and after seeing a shooting star&#44 I turned and saw something high in the atmosphere.,9/04/2004,-37.649872,142.343933,22/01/2004,1:45:00
au,Victoria,melbourne (australia),circle,0.083333333,5.0,300.0,Australia Melourne Victoria Rond circle duration 5mintues,19/03/2009,-37.813938,144.963425,22/01/2009,22:00:00
au,Victoria,melbourne (australia),circle,0.166666667,10.0,600.0,The &quot;ufo&quot; (unknown object(s)) Where flying at an incredible speed. seemed to circle melbourne and shoot off into the atmosphere,5/01/2011,-37.813938,144.963425,2/12/2010,20:43:00
au,Victoria,geelong (australia),circle,2.0,120.0,7200.0,there were 2 objects following eachother in a circle going really fast,14/02/2006,-38.153461,144.358093,22/12/2005,21:30:00
au,Queensland,cairns (qld&#44 australia),disk,0.166666667,10.0,600.0,I remember it was close to Christmas and I had preyed to God for months and months every night to please do something about my abusive,2/12/2000,-16.92304,145.766251,23/12/1980,0:00:00
au,New South Wales,sydney (nsw&#44 australia),disk,0.166666667,10.0,600.0,Photo taken showing bright orange lights 6 in total  one moved back and forth rapidly,3/01/2001,-33.861481,151.205475,23/12/2000,20:15:00
au,Western Australia,armadale (australia),cigar,0.003333333,0.2,12.0,A cigar shaped object beaming across the sky with a trail following.,12/10/2001,-32.15,116.0,24/12/1999,23:30:00
